name,min_price,max_price,headers,related_links,total_characteristics,char_Przekątna,char_Rozdzielczość,char_Matryca,char_Częstotliwość,char_Kontrast,char_Jasność,char_Złącza
BenQ RP704K,18300.0,,BenQ,monitor LCD; 4K; dotykowy; głośniki,7,"70 """,3840x2160 (16:9),czas reakcji 8 ms,60 Hz,4 000:1,330 cd/m²,"VGA, HDMI, DisplayPort, LAN"
Viewsonic VP16-OLED,2012.0,2417.0,Viewsonic,przenośny; OLED; Power Delivery; głośniki; dobry NTSC; dobry sRGB; dobry AdobeRGB; dobry DCI-P3,6,"15.6 """,1920x1080 (16:9),"OLED, czas reakcji 1 ms",60 Hz,,400 cd/m²,"Micro HDMI v 1.4, USB C (wideo)"
Acer Nitro XV240YPbmiiprx,579.0,,Acer,Nitro; gamingowy; FreeSync; głośniki,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 2 ms",144 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort"
Philips Evnia 25M2N3200W,521.0,925.0,Philips,Evnia; gamingowy; HDR,7,"24.5 """,1920x1080 (16:9),"*VA, czas reakcji 1 ms, MPRT 0.5 ms",240 Hz,3 000:1,300 cd/m²,"HDMI, DisplayPort"
Acer EK321QHbi,749.0,830.0,Acer,2025 rok; Adaptive-Sync,7,"31.5 """,1920x1080 (16:9),"*VA, czas reakcji 5 ms, MPRT 1 ms",100 Hz,3 000:1,250 cd/m²,"VGA, HDMI"
Samsung Odyssey G51F 32,1079.0,1645.0,Samsung,2025 rok; Odyssey; gamingowy; HDR; Adaptive-Sync; FreeSync,7,"31.5 """,2560x1440 (16:9),"*VA, MPRT 1 ms",180 Hz,3 000:1,300 cd/m²,"HDMI, DisplayPort"
Philips 27E1N1800A,722.0,991.0,Philips,2024 rok; E series; 4K; HDR; Adaptive-Sync; głośniki,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 4 ms",60 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort"
Acer Nitro ED240QS3bmiipx,379.0,597.0,Acer,2024 rok; Nitro; gamingowy; zakrzywiony; FreeSync; głośniki,7,"23.6 """,1920x1080 (16:9),"*VA, MPRT 1 ms",180 Hz,3 000:1,250 cd/m²,"HDMI, DisplayPort"
Acer KA242YE0bi,433.0,565.0,Acer,2024 rok; seria K; FreeSync,7,"23.8 """,1920x1080 (16:9),"IPS, MPRT 1 ms",100 Hz,1 000:1,250 cd/m²,"VGA, HDMI"
BenQ Zowie XL2586X+,4476.0,6063.0,BenQ,2025 rok; Zowie; gamingowy; HDMI 2.1; Adaptive-Sync,7,"24.1 """,1920x1080 (16:9),TN+film,600 Hz,1 000:1,320 cd/m²,"HDMI, DisplayPort"
Philips 32E1N3100LA,738.0,998.0,Philips,2024 rok; E series; Adaptive-Sync; głośniki; dobry NTSC; dobry sRGB,7,"31.5 """,1920x1080 (16:9),"*VA, czas reakcji 4 ms, MPRT 1 ms",75 Hz,3 000:1,300 cd/m²,"VGA, HDMI"
Asus VG258QR,1417.0,,Asus,gamingowy; FreeSync; głośniki,7,"25 """,1920x1080 (16:9),"TN+film, czas reakcji 1 ms",165 Hz,1 000:1,400 cd/m²,"DVI-D, HDMI, DisplayPort"
Acer Nitro VG240YGbmipx,453.0,,Acer,2025 rok; Nitro; gamingowy; Adaptive-Sync; głośniki,7,"23.8 """,1920x1080 (16:9),"IPS, MPRT 1 ms",120 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort"
AOC AGON PRO AG346UCD,2743.0,3089.0,AOC,2024 rok; AGON; gamingowy; QD-OLED; zakrzywiony; HDR; FreeSync; głośniki; dobry sRGB; dobry DCI-P3,7,"34 """,3440x1440 (21:9),"QD-OLED, czas reakcji 0.03 ms",175 Hz,1 500 000:1,250 cd/m²,"HDMI, DisplayPort"
BenQ RD280U,2410.0,3014.0,BenQ,2024 rok; 4K; USB C hub; Power Delivery; HDR; TÜV Rheinland; KVM; głośniki,7,"28.2 """,3840x2560 (3:2),"IPS, czas reakcji 5 ms",60 Hz,1 200:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo), Thunderbolt"
Optoma Creative Touch 3 Series 3862RK,10490.0,18503.0,Optoma,2024 rok; monitor LCD; 4K; Power Delivery; dotykowy; TÜV Rheinland; głośniki; Wi-Fi,7,"86 """,3840x2160 (16:9),czas reakcji 8 ms,60 Hz,1 200:1,400 cd/m²,"VGA, HDMI, DisplayPort, USB C (wideo), LAN"
Iiyama ProLite XUB2490HSUH-B1,878.0,1076.0,Iiyama,2024 rok; Adaptive-Sync; głośniki; kamera internetowa,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",100 Hz,1 300:1,250 cd/m²,"HDMI, DisplayPort"
LC-Power LC-M34-UWQHD-165-C,1305.0,1396.0,LC-Power,gamingowy; zakrzywiony; HDR; FreeSync; dobry NTSC,7,"34 """,3440x1440 (21:9),"*VA, MPRT 1 ms",165 Hz,3 000:1,350 cd/m²,"HDMI, DisplayPort"
Asus ROG Strix XG27UCS,1599.0,2174.0,Asus,2024 rok; ROG Strix; gamingowy; 4K; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; FreeSync; dobry sRGB,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 1 ms",160 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Iiyama ProLite T2754MSC-B1AG,1979.0,2165.0,Iiyama,dotykowy,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",60 Hz,1 000:1,300 cd/m²,"VGA, HDMI"
Lenovo ThinkVision P49w-30,5903.0,12128.0,Lenovo,2024 rok; HDMI 2.1; USB C hub; Power Delivery; zakrzywiony; HDR; TÜV Rheinland; KVM; głośniki; dobry DCI-P3,7,"49 """,5120x1440 (32:9),"IPS, czas reakcji 6 ms",60 Hz,2 000:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo), Thunderbolt, LAN"
Samsung QB85R-B,11847.0,17556.0,Samsung,monitor LCD; 4K; głośniki,7,"84.5 """,3840x2160 (16:9),"*VA, czas reakcji 8 ms",60 Hz,4 000:1,350 cd/m²,"DVI-D, HDMI, LAN"
MSI MAG 273QP QD-OLED X24,2299.0,2306.0,MSI,2025 rok; gamingowy; QD-OLED; HDMI 2.1; HDR; TÜV Rheinland; Adaptive-Sync; dobry sRGB; dobry DCI-P3,7,"26.5 """,2560x1440 (16:9),"QD-OLED, czas reakcji 0.03 ms",240 Hz,1 500 000:1,250 cd/m²,"HDMI, DisplayPort"
Iiyama ProLite T2752MSC-B1AG,1841.0,2290.0,Iiyama,2025 rok; dotykowy; głośniki,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,344 cd/m²,"HDMI, DisplayPort"
Samsung QB24C-T,2668.0,4383.0,Samsung,2024 rok; Panele LCD; informacyjny; dotykowy; Bluetooth; Wi-Fi,7,"23.8 """,1920x1080 (16:9),"ADS-IPS, czas reakcji 14 ms",75 Hz,1 000:1,250 cd/m²,"HDMI, LAN"
AOC 24P3CW,817.0,1379.0,AOC,Home (domowe); Power Delivery; Adaptive-Sync; głośniki; kamera internetowa,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",75 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Viewsonic XG272-2K-OLED,2299.0,4894.0,Viewsonic,2024 rok; XG (gamingowe); gamingowy; OLED; HDMI 2.1; Power Delivery; HDR; FreeSync; głośniki; dobry NTSC; dobry sRGB,7,"26.5 """,2560x1440 (16:9),"OLED, czas reakcji 0.02 ms",240 Hz,150 000:1,450 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
LG UltraGear 32GS95UV,3383.0,4464.0,LG,2024 rok; UltraGear (gamingowe); gamingowy; 4K; OLED; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; głośniki; dobry DCI-P3,7,"31.5 """,3840x2160 (16:9),"OLED, czas reakcji 0.03 ms",240 Hz,1 500 000:1,275 cd/m²,"HDMI, DisplayPort"
Samsung MD40C,2599.0,,Samsung,Panele LCD; monitor LCD; głośniki,7,"40 """,1920x1080 (16:9),"*VA, czas reakcji 8 ms",75 Hz,5 000:1,350 cd/m²,"DVI-D, HDMI"
Philips 349X7FJEW,791.0,,Philips,zakrzywiony; FreeSync; głośniki; dobry NTSC; dobry sRGB,7,"34 """,3440x1440 (21:9),"*VA, czas reakcji 4 ms",60 Hz,3 000:1,300 cd/m²,"HDMI, DisplayPort"
AOC AGON AG456UCZD,3828.0,5309.0,AOC,2024 rok; AGON; gamingowy; OLED; Power Delivery; zakrzywiony; HDR; Adaptive-Sync; FreeSync; KVM; głośniki; dobry sRGB; dobry DCI-P3,6,"44.5 """,3440x1440 (21:9),"OLED, czas reakcji 0.03 ms",240 Hz,150 000:1,,"HDMI, DisplayPort, USB C (wideo)"
Iiyama ProLite TF3215MC-B2,3696.0,4254.0,Iiyama,2024 rok; informacyjny; dotykowy,7,"31.5 """,1920x1080 (16:9),"*VA, czas reakcji 8 ms",60 Hz,3 000:1,460 cd/m²,"VGA, HDMI, DisplayPort"
AOC 24G2SPAE,659.0,797.0,AOC,Gaming (do gier); gamingowy; Adaptive-Sync; FreeSync; głośniki; dobry NTSC; dobry sRGB,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",165 Hz,1 000:1,300 cd/m²,"VGA, HDMI, DisplayPort"
AOC 27G2,1146.0,,AOC,Gaming (do gier); gamingowy; FreeSync; dobry sRGB,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",144 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
Dahua LM22-C200,389.0,,Dahua,Adaptive-Sync; dobry NTSC,7,"21.45 """,1920x1080 (16:9),"*VA, czas reakcji 4 ms",75 Hz,3 000:1,250 cd/m²,"VGA, HDMI"
Iiyama ProLite XUB2793QSU-B7,704.0,1093.0,Iiyama,2024 rok; Adaptive-Sync; głośniki,7,"27 """,2560x1440 (16:9),"IPS, MPRT 1 ms",100 Hz,1 300:1,300 cd/m²,"HDMI, DisplayPort"
Iiyama ProLite B1980SD,570.0,,Iiyama,,7,"19 """,1280x1024 (5:4),"TN+film, czas reakcji 5 ms",75 Hz,1 000:1,250 cd/m²,"VGA, DVI-D"
Lenovo Legion Y27h-30,884.0,999.0,Lenovo,Legion; gamingowy; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; głośniki; dobry sRGB,7,"27 """,2560x1440 (16:9),"IPS, czas reakcji 1 ms, MPRT 0.5 ms",180 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Dell Alienware AW2525HM,899.0,1358.0,Dell,2025 rok; Alienware; gamingowy; HDMI 2.1; HDR; Adaptive-Sync; FreeSync,7,"24.5 """,1920x1080 (16:9),"IPS, czas reakcji 0.5 ms",320 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
HP 724pu,1118.0,1878.0,HP,2024 rok; Power Delivery; TÜV Rheinland,7,"24 """,1920x1200 (16:10),"IPS, czas reakcji 5 ms",100 Hz,1 500:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Acer SA322QHbi,650.0,780.0,Acer,2025 rok; seria S (design obudowy); Adaptive-Sync,7,"31.5 """,1920x1080 (16:9),"*VA, MPRT 1 ms",100 Hz,3 000:1,300 cd/m²,"VGA, HDMI"
Acer Vero RL272Eyiiv,684.0,806.0,Acer,2024 rok; Vero; FreeSync; głośniki,7,"27 """,1920x1080 (16:9),"IPS, MPRT 1 ms",100 Hz,1 000:1,250 cd/m²,"VGA, HDMI"
Sony INZONE M9 II,3531.0,4789.0,Sony,2024 rok; gamingowy; 4K; HDMI 2.1; HDR; TÜV Rheinland; Adaptive-Sync; głośniki,7,"26.7 """,3840x2160 (16:9),"IPS, czas reakcji 1 ms",160 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
Dell Pro Plus P2425HE,650.0,1394.0,Dell,2024 rok; Series P; USB C hub; Power Delivery; TÜV Rheinland,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 8 ms",100 Hz,1 500:1,250 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Samsung Odyssey OLED G85SD 34,3199.0,5579.0,Samsung,2024 rok; Odyssey; gamingowy; smart; QD-OLED; HDMI 2.1; zakrzywiony; HDR; FreeSync; głośniki; Bluetooth; Wi-Fi; dobry DCI-P3,7,"34 """,3440x1440 (21:9),"QD-OLED, czas reakcji 0.03 ms",175 Hz,1 000 000:1,250 cd/m²,"HDMI, DisplayPort"
Viewsonic VX2476-SMHD,387.0,662.0,Viewsonic,VX (multimedialne); głośniki,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",60 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
AOC 24B35HM2,264.0,415.0,AOC,2025 rok; Home (domowe); Adaptive-Sync; dobry sRGB,7,"23.8 """,1920x1080 (16:9),"*VA, czas reakcji 4 ms, MPRT 1 ms",100 Hz,4 000:1,300 cd/m²,"VGA, HDMI"
Asus ProArt PA279CV,1567.0,1933.0,Asus,ProArt; do grafiki; 4K; Power Delivery; HDR; CalMAN; głośniki; dobry sRGB,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
UPERFECT UGame C2 Ver A,997.0,,UPERFECT,2024 rok; przenośny; HDR; FreeSync; głośniki; dobry sRGB,7,"16 """,2560x1600 (16:10),"IPS, czas reakcji 9 ms",120 Hz,1 200:1,400 cd/m²,"Mini HDMI, USB C (wideo)"
Samsung S27B610E,1022.0,,Samsung,TÜV Rheinland; FreeSync; dobry NTSC,7,"27 """,2560x1440 (16:9),"IPS, czas reakcji 5 ms",75 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort"
Acer Nitro XZ342CUV3bmiiphx,1349.0,,Acer,2024 rok; Nitro; gamingowy; zakrzywiony; HDR; Adaptive-Sync; FreeSync; głośniki,7,"34 """,3440x1440 (21:9),"*VA, MPRT 1 ms",180 Hz,4 000:1,400 cd/m²,"HDMI, DisplayPort"
Asus VA24ECPSN,799.0,859.0,Asus,Power Delivery; głośniki,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",75 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
AOC 25G4SRE,699.0,839.0,AOC,2025 rok; Gaming (do gier); gamingowy; HDR; Adaptive-Sync; dobry sRGB,6,"24.5 """,1920x1080 (16:9),"IPS, czas reakcji 1 ms, MPRT 0.3 ms",300 Hz,,400 cd/m²,"HDMI, DisplayPort"
Viewsonic VG2440V,1000.0,1122.0,Viewsonic,głośniki; kamera internetowa; dobry sRGB,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
AOC 24B36X,360.0,410.0,AOC,2025 rok; Home (domowe); gamingowy; HDR; Adaptive-Sync; dobry sRGB,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms, MPRT 0.5 ms",144 Hz,1 500:1,300 cd/m²,"HDMI, DisplayPort"
MSI PRO MP252 E2,407.0,445.0,MSI,2024 rok; PRO; HDR; TÜV Rheinland; Adaptive-Sync; głośniki,7,"24.5 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",120 Hz,1 500:1,300 cd/m²,"HDMI, DisplayPort"
LG 75XS4G,32779.0,,LG,Panele LCD (komercja); monitor LCD; 4K; głośniki,7,"75 """,3840x2160 (16:9),"IPS, czas reakcji 8 ms",60 Hz,1 200:1,4000 cd/m²,"HDMI, DisplayPort, LAN"
Iiyama G-Master G2470HSU-B1,601.0,899.0,Iiyama,G-Master (gamingowe); FreeSync; głośniki,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms, MPRT 0.8 ms",165 Hz,1 100:1,250 cd/m²,"HDMI, DisplayPort"
Acer Predator XB273KV5bmiiprx,1699.0,1754.0,Acer,2025 rok; Predator; gamingowy; 4K; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; głośniki,7,"27 """,3840x2160 (16:9),"IPS, MPRT 0.5 ms",160 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
MSI G24C4 E2,430.0,625.0,MSI,2024 rok; gamingowy; zakrzywiony; TÜV Rheinland; Adaptive-Sync; FreeSync; dobry sRGB,7,"23.6 """,1920x1080 (16:9),"*VA, MPRT 1 ms",180 Hz,3 000:1,250 cd/m²,"HDMI, DisplayPort"
Philips 27E2N2500,544.0,691.0,Philips,2025 rok; E series; HDR; Adaptive-Sync,7,"27 """,2560x1440 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",120 Hz,1 500:1,300 cd/m²,"HDMI, DisplayPort"
Ricoh Portable Monitor 150,1568.0,2094.0,Ricoh,2025 rok; przenośny; OLED; dotykowy; głośniki; dobry DCI-P3,7,"15.6 """,1920x1080 (16:9),"OLED, czas reakcji 1 ms",60 Hz,100 000:1,300 cd/m²,USB C (wideo)
AOC 24B3CA2,379.0,667.0,AOC,2024 rok; Power Delivery; Adaptive-Sync; głośniki,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",100 Hz,1 300:1,250 cd/m²,"HDMI, USB C (wideo)"
Acer Nitro ED320QRS3biipx,799.0,899.0,Acer,2024 rok; Nitro; gamingowy; zakrzywiony; HDR; FreeSync; głośniki,7,"31.5 """,1920x1080 (16:9),"*VA, MPRT 1 ms",180 Hz,3 000:1,250 cd/m²,"HDMI, DisplayPort"
LG 27UK670P,1261.0,1375.0,LG,2024 rok; 4K; Power Delivery; FreeSync,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Kruger&Matz KM9901-MT27,439.0,,Kruger&Matz,2025 rok; Adaptive-Sync; głośniki,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",100 Hz,1 000:1,230 cd/m²,"VGA, HDMI"
AOC CQ32G4VE,782.0,988.0,AOC,2024 rok; Gaming (do gier); gamingowy; zakrzywiony; HDR; Adaptive-Sync; dobry sRGB,7,"31.5 """,2560x1440 (16:9),"*VA, czas reakcji 1 ms, MPRT 0.5 ms",180 Hz,3 500:1,300 cd/m²,"HDMI, DisplayPort"
MSI Modern MD272XPW,799.0,,MSI,2024 rok; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; KVM; głośniki; dobry sRGB,6,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",100 Hz,1 000:1,,"HDMI, DisplayPort, USB C (wideo)"
Philips 45B1U6900CH,3206.0,4526.0,Philips,Power Delivery; zakrzywiony; HDR; głośniki; kamera internetowa; dobry NTSC; dobry sRGB,7,"44.5 """,5120x1440 (32:9),"*VA, czas reakcji 4 ms",75 Hz,3 000:1,450 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
HP V24v G5,328.0,543.0,HP,FreeSync,7,"23.8 """,1920x1080 (16:9),"*VA, czas reakcji 5 ms",75 Hz,3 000:1,250 cd/m²,"VGA, HDMI"
Dell Pro Plus P2424HEB,1393.0,3002.0,Dell,2024 rok; Series P; USB C hub; Power Delivery; TÜV Rheinland; KVM; głośniki; kamera internetowa,7,"23.8 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort, USB C (wideo), LAN"
Samsung PM49H,4590.0,5889.0,Samsung,Panele LCD; monitor LCD; głośniki,7,"49 """,1920x1080 (16:9),czas reakcji 8 ms,75 Hz,4 000:1,500 cd/m²,"DVI-D, HDMI, DisplayPort, LAN"
HP OMEN 34c,1399.0,2076.0,HP,OMEN; zakrzywiony; HDR; Adaptive-Sync; FreeSync; głośniki,7,"34 """,3440x1440 (21:9),"*VA, czas reakcji 1 ms",165 Hz,3 000:1,400 cd/m²,"HDMI, DisplayPort"
Asus ProArt PA248QV,819.0,950.0,Asus,ProArt; do grafiki; CalMAN; FreeSync; głośniki; dobry sRGB,7,"24 """,1920x1200 (16:10),"IPS, czas reakcji 5 ms",75 Hz,1 000:1,300 cd/m²,"VGA, HDMI, DisplayPort"
Asus ROG Strix XG259CS,661.0,881.0,Asus,2024 rok; ROG Strix; gamingowy; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; dobry sRGB,7,"24.5 """,1920x1080 (16:9),"IPS, czas reakcji 1 ms",180 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
AOC 27B2DM,449.0,596.0,AOC,głośniki,7,"27 """,1920x1080 (16:9),"*VA, czas reakcji 4 ms",75 Hz,4 000:1,250 cd/m²,"VGA, DVI-D"
Dell UltraSharp U3224KBA,9440.0,10564.0,Dell,UltraSharp; 6K; HDMI 2.1; USB C hub; Power Delivery; HDR; głośniki; kamera internetowa; dobry sRGB; dobry DCI-P3,7,"31.5 """,6144x3456 (16:9),"IPS, czas reakcji 5 ms",60 Hz,2 000:1,450 cd/m²,"HDMI, mini DisplayPort, USB C (wideo), Thunderbolt, LAN"
AOC Q24G2A,838.0,1061.0,AOC,Gaming (do gier); gamingowy; Adaptive-Sync; głośniki; dobry NTSC; dobry sRGB,7,"23.8 """,2560x1440 (16:9),"IPS, czas reakcji 4 ms, MPRT 1 ms",165 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort"
Iiyama ProLite LH3260HS-B1AG,1680.0,2077.0,Iiyama,monitor LCD; głośniki; Wi-Fi; dobry NTSC,7,"31.5 """,1920x1080 (16:9),"*VA, czas reakcji 8 ms",60 Hz,4 000:1,500 cd/m²,"HDMI, LAN"
Samsung QH55H,8650.0,9819.0,Samsung,Panele LCD; monitor LCD; 4K; głośniki; dobry DCI-P3,6,"55 """,3840x2160 (16:9),czas reakcji 6 ms,75 Hz,,1500 cd/m²,"HDMI, DisplayPort, LAN"
MSI MAG 321UP QD-OLED,3599.0,4513.0,MSI,2024 rok; gamingowy; 4K; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; dobry sRGB; dobry DCI-P3,7,"31.5 """,3840x2160 (16:9),"QD-OLED, czas reakcji 0.03 ms",165 Hz,1 500 000:1,250 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Acer PD193QEbmiuux,1399.0,2049.0,Acer,2024 rok; seria P; przenośny; Power Delivery; Adaptive-Sync; głośniki,6,"18.5 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",60 Hz,,250 cd/m²,"HDMI, USB C (wideo)"
HP M27ha,963.0,,HP,M-Series; głośniki,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
Philips 27M1F5800,4327.0,,Philips,gamingowy; 4K; HDMI 2.1; HDR; Adaptive-Sync; dobry NTSC; dobry sRGB; dobry DCI-P3,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 1 ms",144 Hz,1 000:1,450 cd/m²,"HDMI, DisplayPort"
Dahua LM28-F400,1125.0,1500.0,Dahua,2024 rok; 4K; FreeSync; głośniki,7,"28 """,3840x2160 (16:9),"IPS, czas reakcji 5 ms",60 Hz,1 000:1,300 cd/m²,"HDMI, DisplayPort"
HP 532sf,753.0,1267.0,HP,2024 rok,7,"32 """,1920x1080 (16:9),"*VA, czas reakcji 7 ms",100 Hz,3 000:1,300 cd/m²,"VGA, HDMI"
Viewsonic VA270-H-2,379.0,555.0,Viewsonic,2025 rok; dobry NTSC; dobry sRGB,7,"27 """,1920x1080 (16:9),"IPS, MPRT 1 ms",100 Hz,1 000:1,300 cd/m²,"VGA, HDMI"
MSI Optix MEG381CQR Plus,9153.0,11060.0,MSI,gamingowy; zakrzywiony; HDR; G-Sync; kamera internetowa; dobry sRGB,7,"37.5 """,3840x1600 (21:9),"IPS, czas reakcji 1 ms",175 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
Gigabyte GS32QCA,827.0,1539.0,Gigabyte,2025 rok; gamingowy; zakrzywiony; HDR; TÜV Rheinland; FreeSync; dobry sRGB,7,"31.5 """,2560x1440 (16:9),"*VA, MPRT 1 ms",180 Hz,3 500:1,250 cd/m²,"HDMI, DisplayPort"
LG UltraGear 27GR95UM,2999.0,4349.0,LG,2024 rok; UltraGear (gamingowe); gamingowy; 4K; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; głośniki; dobry DCI-P3,7,"27 """,3840x2160 (16:9),"Mini LED IPS, czas reakcji 1 ms",144 Hz,1 000:1,450 cd/m²,"HDMI, DisplayPort"
Philips Evnia 34M2C6500,2458.0,3114.0,Philips,2024 rok; Evnia; gamingowy; QD-OLED; zakrzywiony; HDR; Adaptive-Sync; dobry sRGB; dobry DCI-P3,7,"34 """,3440x1440 (21:9),"QD-OLED, czas reakcji 0.03 ms",175 Hz,1 000 000:1,250 cd/m²,"HDMI, DisplayPort"
Samsung RM40D,2699.0,,Samsung,Panele LCD; monitor LCD; głośniki,6,"40 """,1920x1080 (16:9),czas reakcji 8 ms,75 Hz,,350 cd/m²,"VGA, HDMI"
Samsung Odyssey G55C 32,799.0,1194.0,Samsung,2024 rok; Odyssey; gamingowy; zakrzywiony; HDR; FreeSync,7,"32 """,2560x1440 (16:9),"*VA, MPRT 1 ms",165 Hz,2 500:1,300 cd/m²,"HDMI, DisplayPort"
Acer Nitro QG271M3bmiipx,703.0,,Acer,2024 rok; Nitro; gamingowy; FreeSync; głośniki,7,"27 """,1920x1080 (16:9),"IPS, MPRT 1 ms",180 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort"
Samsung WA86F,9404.0,14429.0,Samsung,2025 rok; Panele LCD; monitor LCD; 4K; HDMI 2.1; Power Delivery; dotykowy; głośniki; Bluetooth; Wi-Fi,7,"86 """,3840x2160 (16:9),"IPS, czas reakcji 8 ms",60 Hz,1 200:1,400 cd/m²,"HDMI, USB C (wideo), LAN"
Acer Vero B277Ebmiprxv,734.0,840.0,Acer,2024 rok; Vero; FreeSync; głośniki,7,"27 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",100 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
Samsung Odyssey G70B 32,2309.0,3992.0,Samsung,Odyssey; gamingowy; 4K; HDMI 2.1; HDR; FreeSync; głośniki,7,"32 """,3840x2160 (16:9),"IPS, czas reakcji 1 ms",144 Hz,1 000:1,350 cd/m²,"HDMI, DisplayPort, LAN"
Samsung Odyssey G40B 25,594.0,1079.0,Samsung,Odyssey; gamingowy; HDR; FreeSync; G-Sync,7,"25 """,1920x1080 (16:9),"IPS, czas reakcji 1 ms",240 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort"
Asus TUF Gaming VG249Q1R,483.0,984.0,Asus,TUF; gamingowy; głośniki; dobry sRGB,7,"24 """,1920x1080 (16:9),"IPS, czas reakcji 4 ms",165 Hz,1 000:1,250 cd/m²,"HDMI, DisplayPort"
MSI Modern MD272UPHW,1237.0,1499.0,MSI,2025 rok; 4K; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; KVM; głośniki; dobry sRGB,7,"27 """,3840x2160 (16:9),"IPS, czas reakcji 4 ms",60 Hz,1 000:1,400 cd/m²,"HDMI, DisplayPort, USB C (wideo)"
Samsung S24C430G,490.0,1017.0,Samsung,seria 4xx; FreeSync,7,"24 """,1920x1080 (16:9),czas reakcji 4 ms,100 Hz,1 000:1,250 cd/m²,"VGA, HDMI, DisplayPort"
